,index,Unnamed: 0,X,Month,Longitude,Latitude,hours,minutes,crime,Cluster_Index,danger_index
0,10330,10331,10331,2015-04-25,81.552,25.432104,18,50,Rape,0,173
1,10331,10332,10332,2006-06-20,81.55328,25.431477,18,12,Robery,0,173
2,10332,10333,10333,2008-07-29,81.558307,25.433921,20,14,Robery,0,173
3,10333,10334,10334,2015-06-19,81.552658,25.430465,12,1,Robery,0,173
4,10334,10335,10335,2011-03-18,81.558307,25.433921,10,5,Hit And Run,0,173
5,10335,10336,10336,2013-04-15,81.564477,25.437723,6,49,Kidnap,0,173
6,10336,10337,10337,2009-05-13,81.552066,25.44104,7,4,Rape,0,173
7,10337,10338,10338,2014-08-20,81.564621,25.434902,6,44,Murder,0,173
8,10338,10339,10339,2011-12-15,81.552066,25.44104,13,10,Hit And Run,0,173
9,10339,10340,10340,2006-09-01,81.552066,25.44104,19,33,Pick,0,173
10,10340,10341,10341,2014-06-14,81.564477,25.437723,15,23,Robery,0,173
11,10341,10342,10342,2012-07-05,81.552066,25.44104,17,15,Violence and Offence,0,173
12,10342,10343,10343,2012-05-10,81.552066,25.44104,11,44,Rape,0,173
13,10343,10344,10344,2013-02-17,81.564477,25.437723,20,49,Murder,0,173
14,10344,10345,10345,2006-08-18,81.552066,25.44104,22,57,Chain,0,173
15,10345,10346,10346,2005-04-27,81.564477,25.437723,16,12,Pick,0,173
16,10346,10347,10347,2006-08-10,81.552066,25.44104,20,50,Pick,0,173
17,10347,10348,10348,2014-12-29,81.552066,25.44104,15,31,Pick,0,173
18,10348,10349,10349,2011-02-22,81.563885,25.432352,3,30,Pick,0,173
19,10349,10350,10350,2013-09-13,81.560148,25.433155,20,38,Robery,0,173
20,10350,10351,10351,2013-03-29,81.560148,25.433155,0,5,Kidnap,0,173
21,10351,10352,10352,2008-10-15,81.560148,25.433155,7,54,Kidnap,0,173
22,10352,10353,10353,2006-06-24,81.560262,25.435853,1,48,Murder,0,173
23,10353,10354,10354,2007-04-13,81.562036,25.436561,8,39,Hit And Run,0,173
24,10354,10355,10355,2014-05-04,81.552066,25.44104,3,30,Murder,0,173
25,10355,10356,10356,2007-06-06,81.552066,25.44104,2,34,Robery,0,173
26,10356,10357,10357,2014-02-17,81.552066,25.44104,5,49,Chain,0,173
27,10357,10358,10358,2015-01-08,81.554311,25.438534,6,24,Hit And Run,0,173
28,10358,10359,10359,2008-12-11,81.554311,25.438534,5,45,Pick,0,173
29,10359,10360,10360,2009-01-06,81.555689,25.436334,20,56,Violence and Offence,0,173
30,10360,10361,10361,2013-03-03,81.554335,25.437545,5,33,Murder,0,173
31,10361,10362,10362,2009-01-01,81.554737,25.433414,13,6,Murder,0,173
32,10362,10363,10363,2014-01-08,81.555689,25.436334,4,54,Rape,0,173
33,10363,10364,10364,2010-12-03,81.554737,25.433414,16,9,Pick,0,173
34,10364,10365,10365,2012-07-01,81.557039,25.434108,8,32,Hit And Run,0,173
35,10365,10366,10366,2010-06-30,81.545342,25.440199,13,6,Violence and Offence,0,173
36,10366,10367,10367,2012-01-04,81.549243,25.434633,10,17,Robery,0,173
37,10367,10368,10368,2009-09-10,81.548264,25.435271,13,32,Hit And Run,0,173
38,10368,10369,10369,2015-09-18,81.548264,25.435271,14,28,Violence and Offence,0,173
39,10369,10370,10370,2005-11-17,81.548264,25.435271,1,36,Robery,0,173
40,10370,10371,10371,2005-03-13,81.549048,25.43766,15,20,Murder,0,173
41,10371,10372,10372,2010-11-27,81.546755,25.435447,5,57,Robery,0,173
