,index,Unnamed: 0,X,Month,Longitude,Latitude,hours,minutes,crime,Cluster_Index,danger_index
0,2041,2042,2042,2007-08-02,81.677017,25.43986,0,18,Robery,4,260
1,2042,2043,2043,2009-06-02,81.677017,25.43986,17,9,Robery,4,260
2,2053,2054,2054,2013-07-18,81.675187,25.438183,11,5,Kidnap,4,260
3,2054,2055,2055,2010-12-22,81.66899,25.437919,9,12,Violence and Offence,4,260
4,2055,2056,2056,2006-05-22,81.669918,25.436784,20,54,Hit And Run,4,260
5,2056,2057,2057,2008-09-16,81.66899,25.437919,8,5,Pick,4,260
6,2057,2058,2058,2013-05-16,81.672114,25.437565,13,46,Pick,4,260
7,2058,2059,2059,2009-01-03,81.671461,25.437839,8,56,Violence and Offence,4,260
8,2063,2064,2064,2005-02-26,81.6648,25.436124,9,57,Robery,4,260
9,2065,2066,2066,2008-06-03,81.6648,25.436124,16,15,Pick,4,260
10,2068,2069,2069,2013-12-06,81.665276,25.438411,14,24,Violence and Offence,4,260
11,2071,2072,2072,2013-12-20,81.6648,25.436124,9,40,Hit And Run,4,260
12,2073,2074,2074,2005-01-17,81.666107,25.438274,16,12,Hit And Run,4,260
13,2076,2077,2077,2011-04-18,81.662377,25.43748,7,45,Hit And Run,4,260
14,2079,2080,2080,2005-07-16,81.6648,25.436124,19,2,Chain,4,260
15,2299,2300,2300,2007-08-16,81.622212,25.432295,0,33,Pick,4,260
16,2335,2336,2336,2008-07-13,81.626192,25.432696,21,53,Pick,4,260
17,2339,2340,2340,2010-02-28,81.623867,25.431032,4,18,Pick,4,260
18,2342,2343,2343,2008-09-21,81.626192,25.432696,11,22,Murder,4,260
19,2351,2352,2352,2014-01-10,81.629868,25.433185,14,18,Rape,4,260
20,2353,2354,2354,2012-12-19,81.629868,25.433185,7,19,Violence and Offence,4,260
21,2354,2355,2355,2011-06-17,81.628706,25.431333,15,51,Murder,4,260
22,2355,2356,2356,2007-04-02,81.628706,25.431333,17,18,Rape,4,260
23,2363,2364,2364,2007-09-22,81.628706,25.431333,4,18,Pick,4,260
24,2364,2365,2365,2013-10-25,81.624364,25.432996,11,53,Chain,4,260
25,2365,2366,2366,2014-11-05,81.627516,25.432698,14,20,Kidnap,4,260
26,2366,2367,2367,2013-04-26,81.624364,25.432996,22,53,Murder,4,260
27,2367,2368,2368,2012-11-07,81.627516,25.432698,2,25,Hit And Run,4,260
28,2369,2370,2370,2010-03-22,81.629868,25.433185,16,53,Violence and Offence,4,260
29,2372,2373,2373,2008-07-12,81.615341,25.431331,5,31,Chain,4,260
30,2374,2375,2375,2011-02-19,81.613216,25.430801,3,24,Kidnap,4,260
31,2375,2376,2376,2009-01-10,81.616186,25.428632,4,55,Chain,4,260
32,2376,2377,2377,2007-06-14,81.613216,25.430801,15,10,Violence and Offence,4,260
33,2377,2378,2378,2006-04-23,81.613376,25.431027,20,52,Rape,4,260
34,2382,2383,2383,2012-12-18,81.606834,25.429499,9,29,Robery,4,260
35,2383,2384,2384,2008-07-24,81.615013,25.431193,15,37,Chain,4,260
36,2393,2394,2394,2013-03-13,81.609414,25.425358,7,37,Pick,4,260
37,2397,2398,2398,2006-12-09,81.60258,25.427998,16,8,Hit And Run,4,260
38,2400,2401,2401,2007-08-27,81.606249,25.427507,19,31,Hit And Run,4,260
39,2402,2403,2403,2006-11-06,81.60128,25.425668,19,1,Violence and Offence,4,260
40,2403,2404,2404,2015-03-13,81.604986,25.429384,20,6,Chain,4,260
41,2407,2408,2408,2007-01-06,81.613376,25.431027,11,53,Violence and Offence,4,260
42,2413,2414,2414,2013-12-13,81.615013,25.431193,12,26,Chain,4,260
43,2414,2415,2415,2011-07-16,81.605753,25.426191,13,25,Chain,4,260
44,2415,2416,2416,2008-08-15,81.605753,25.426191,21,15,Violence and Offence,4,260
45,2419,2420,2420,2015-05-30,81.647632,25.434424,15,44,Chain,4,260
46,2420,2421,2421,2013-06-15,81.647632,25.434424,21,10,Kidnap,4,260
47,2421,2422,2422,2009-02-27,81.647632,25.434424,11,53,Rape,4,260
48,2422,2423,2423,2008-01-06,81.647632,25.434424,6,27,Murder,4,260
49,2423,2424,2424,2015-05-05,81.647632,25.434424,1,1,Murder,4,260
50,2425,2426,2426,2008-01-12,81.650087,25.435019,16,36,Violence and Offence,4,260
51,2426,2427,2427,2013-09-17,81.647632,25.434424,3,33,Murder,4,260
52,2430,2431,2431,2010-02-09,81.647632,25.434424,4,4,Murder,4,260
53,2431,2432,2432,2009-01-09,81.647632,25.434424,13,35,Pick,4,260
54,2433,2434,2434,2008-05-23,81.647632,25.434424,11,57,Rape,4,260
55,2434,2435,2435,2008-11-05,81.657174,25.435183,17,2,Kidnap,4,260
56,2436,2437,2437,2007-04-19,81.650357,25.430356,7,41,Rape,4,260
57,2437,2438,2438,2008-01-25,81.648576,25.433263,22,21,Rape,4,260
58,2438,2439,2439,2014-06-27,81.651695,25.433818,10,10,Hit And Run,4,260
59,2439,2440,2440,2013-10-22,81.651695,25.433818,22,20,Rape,4,260
60,2440,2441,2441,2012-06-26,81.651695,25.433818,5,58,Murder,4,260
61,2441,2442,2442,2014-08-31,81.650357,25.430356,12,10,Murder,4,260
62,2442,2443,2443,2005-09-10,81.650551,25.432479,18,14,Pick,4,260
63,2443,2444,2444,2008-02-23,81.648576,25.433263,8,40,Hit And Run,4,260
64,2444,2445,2445,2014-07-31,81.653766,25.434078,3,31,Violence and Offence,4,260
65,2445,2446,2446,2010-05-27,81.65068,25.430026,15,58,Chain,4,260
66,2446,2447,2447,2005-01-19,81.653766,25.434078,3,48,Chain,4,260
67,2447,2448,2448,2014-08-22,81.65286,25.432866,19,29,Chain,4,260
68,2448,2449,2449,2011-06-14,81.65068,25.430026,13,16,Violence and Offence,4,260
69,2449,2450,2450,2008-11-06,81.65286,25.432866,13,0,Violence and Offence,4,260
70,2450,2451,2451,2008-08-03,81.648576,25.433263,8,10,Chain,4,260
71,2459,2460,2460,2011-11-02,81.661091,25.437084,14,1,Rape,4,260
72,2463,2464,2464,2011-02-13,81.661091,25.437084,4,29,Violence and Offence,4,260
73,2469,2470,2470,2015-07-14,81.656608,25.433525,15,20,Murder,4,260
74,2470,2471,2471,2010-09-27,81.65563,25.431495,12,47,Chain,4,260
75,2471,2472,2472,2010-04-30,81.659062,25.431486,15,18,Rape,4,260
76,2472,2473,2473,2013-05-14,81.655158,25.431059,3,3,Murder,4,260
77,2473,2474,2474,2005-05-14,81.659062,25.431486,17,0,Murder,4,260
78,2474,2475,2475,2005-04-28,81.657197,25.432756,16,45,Murder,4,260
79,2475,2476,2476,2006-08-26,81.65563,25.431495,3,32,Violence and Offence,4,260
80,2476,2477,2477,2011-05-03,81.654772,25.430805,14,58,Rape,4,260
81,2477,2478,2478,2013-01-19,81.653355,25.431602,11,55,Rape,4,260
82,2478,2479,2479,2009-10-14,81.654342,25.430514,5,20,Violence and Offence,4,260
83,2479,2480,2480,2013-02-21,81.654342,25.430514,20,4,Robery,4,260
84,2480,2481,2481,2013-12-04,81.65563,25.431495,0,1,Robery,4,260
85,2481,2482,2482,2013-07-29,81.655643,25.432259,22,46,Murder,4,260
86,2482,2483,2483,2012-04-08,81.655158,25.431059,1,7,Robery,4,260
87,2483,2484,2484,2007-01-18,81.655643,25.432259,18,56,Rape,4,260
88,2486,2487,2487,2014-07-18,81.675912,25.435294,0,36,Kidnap,4,260
89,2487,2488,2488,2010-11-08,81.674474,25.430132,15,24,Chain,4,260
90,2488,2489,2489,2011-07-08,81.671836,25.432395,18,27,Pick,4,260
91,2489,2490,2490,2009-03-14,81.674474,25.430132,14,26,Kidnap,4,260
92,2490,2491,2491,2012-03-11,81.673246,25.433296,0,4,Murder,4,260
93,2491,2492,2492,2008-03-04,81.672359,25.429783,20,25,Robery,4,260
94,2492,2493,2493,2014-10-19,81.671114,25.430987,21,35,Rape,4,260
95,2493,2494,2494,2011-01-12,81.672359,25.429783,17,11,Murder,4,260
96,2494,2495,2495,2006-05-12,81.672216,25.428748,7,43,Robery,4,260
97,2495,2496,2496,2013-03-12,81.672359,25.429783,9,10,Pick,4,260
98,2496,2497,2497,2009-11-13,81.672216,25.428748,6,39,Murder,4,260
99,2497,2498,2498,2013-03-06,81.672216,25.428748,22,2,Rape,4,260
100,2498,2499,2499,2009-02-21,81.673843,25.432132,14,55,Chain,4,260
101,2499,2500,2500,2007-10-23,81.671887,25.43351,6,17,Hit And Run,4,260
102,2500,2501,2501,2015-12-22,81.674474,25.430132,7,0,Hit And Run,4,260
103,2501,2502,2502,2010-01-10,81.678852,25.430903,12,54,Violence and Offence,4,260
104,2502,2503,2503,2008-07-31,81.678134,25.430691,6,36,Murder,4,260
105,2503,2504,2504,2010-01-03,81.681088,25.431226,9,57,Violence and Offence,4,260
106,2504,2505,2505,2007-07-20,81.679968,25.4287,11,6,Hit And Run,4,260
107,2505,2506,2506,2010-09-14,81.679968,25.4287,20,40,Pick,4,260
108,2506,2507,2507,2014-10-17,81.679968,25.4287,13,51,Chain,4,260
109,2507,2508,2508,2007-12-03,81.679968,25.4287,15,10,Robery,4,260
110,2508,2509,2509,2010-06-24,81.679968,25.4287,5,32,Murder,4,260
111,2509,2510,2510,2013-02-24,81.679968,25.4287,7,17,Violence and Offence,4,260
112,2510,2511,2511,2009-05-27,81.675747,25.426942,19,43,Chain,4,260
113,2511,2512,2512,2005-07-27,81.679968,25.4287,5,9,Hit And Run,4,260
114,2512,2513,2513,2011-10-09,81.679968,25.4287,12,30,Chain,4,260
115,2514,2515,2515,2010-09-13,81.678134,25.430691,3,25,Kidnap,4,260
116,2515,2516,2516,2013-11-10,81.678134,25.430691,4,29,Kidnap,4,260
117,2516,2517,2517,2006-04-30,81.679968,25.4287,10,57,Chain,4,260
118,2524,2525,2525,2015-06-06,81.681477,25.433404,0,36,Rape,4,260
119,2527,2528,2528,2013-12-30,81.678811,25.434166,9,50,Violence and Offence,4,260
120,2528,2529,2529,2015-04-02,81.681477,25.433404,4,2,Murder,4,260
121,2598,2599,2599,2007-11-24,81.635734,25.432738,9,6,Violence and Offence,4,260
122,2599,2600,2600,2015-06-29,81.635734,25.432738,4,50,Violence and Offence,4,260
123,2600,2601,2601,2013-10-24,81.644424,25.431136,22,35,Rape,4,260
124,2601,2602,2602,2012-12-18,81.637454,25.431889,12,11,Rape,4,260
125,2602,2603,2603,2013-12-17,81.635734,25.432738,15,33,Robery,4,260
126,2603,2604,2604,2006-03-24,81.642597,25.429404,4,34,Murder,4,260
127,2604,2605,2605,2009-01-15,81.638401,25.431267,14,6,Kidnap,4,260
128,2608,2609,2609,2009-10-21,81.635734,25.432738,2,23,Hit And Run,4,260
129,2609,2610,2610,2012-08-29,81.635712,25.431686,14,20,Violence and Offence,4,260
130,2610,2611,2611,2009-11-13,81.631384,25.432712,21,12,Kidnap,4,260
131,2611,2612,2612,2012-11-11,81.631384,25.432712,1,32,Robery,4,260
132,2612,2613,2613,2007-01-30,81.632762,25.430386,20,26,Murder,4,260
133,2613,2614,2614,2009-06-05,81.635712,25.431686,13,14,Pick,4,260
134,2614,2615,2615,2007-07-04,81.632762,25.430386,22,58,Robery,4,260
135,2615,2616,2616,2009-08-04,81.631317,25.432361,20,25,Chain,4,260
136,2616,2617,2617,2008-04-10,81.631384,25.432712,12,20,Kidnap,4,260
137,2617,2618,2618,2011-12-26,81.632762,25.430386,15,8,Pick,4,260
138,2618,2619,2619,2015-11-18,81.63597,25.430924,4,31,Kidnap,4,260
139,2619,2620,2620,2008-04-21,81.631384,25.432712,15,58,Rape,4,260
140,2620,2621,2621,2007-12-01,81.631384,25.432712,4,26,Murder,4,260
141,2621,2622,2622,2007-11-01,81.63597,25.430924,20,50,Rape,4,260
142,2622,2623,2623,2007-03-02,81.632607,25.431913,9,39,Murder,4,260
143,2623,2624,2624,2009-07-23,81.631317,25.432361,14,5,Chain,4,260
144,2624,2625,2625,2013-11-30,81.63376,25.431472,22,43,Chain,4,260
145,2625,2626,2626,2014-11-20,81.634332,25.432178,0,33,Kidnap,4,260
146,2626,2627,2627,2015-12-18,81.631034,25.431567,21,35,Violence and Offence,4,260
147,2627,2628,2628,2011-03-01,81.633401,25.430085,13,49,Pick,4,260
148,2628,2629,2629,2013-08-12,81.631384,25.432712,5,7,Hit And Run,4,260
149,2629,2630,2630,2013-07-23,81.635712,25.431686,5,17,Rape,4,260
150,2630,2631,2631,2010-03-17,81.632607,25.431913,19,38,Rape,4,260
151,2631,2632,2632,2005-01-02,81.631384,25.432712,18,50,Rape,4,260
152,2632,2633,2633,2006-04-04,81.633556,25.431201,14,34,Robery,4,260
153,2633,2634,2634,2015-09-09,81.635712,25.431686,18,39,Pick,4,260
154,2634,2635,2635,2010-11-02,81.631317,25.432361,2,2,Murder,4,260
155,2635,2636,2636,2011-04-30,81.632108,25.43198,4,32,Chain,4,260
156,2636,2637,2637,2008-08-02,81.632762,25.430386,0,39,Pick,4,260
157,2637,2638,2638,2006-03-26,81.631034,25.431567,16,15,Robery,4,260
158,2638,2639,2639,2013-07-30,81.631384,25.432712,12,29,Murder,4,260
159,2639,2640,2640,2012-04-10,81.631384,25.432712,21,1,Kidnap,4,260
160,2640,2641,2641,2011-09-27,81.633556,25.431201,7,48,Violence and Offence,4,260
