,index,Unnamed: 0,X,Month,Longitude,Latitude,hours,minutes,crime,Cluster_Index,danger_index
0,0,1,1,2011-01-10,81.85223,25.389499,12,34,Rape,1,109
1,1,2,2,2009-06-26,81.85223,25.389499,13,23,Kidnap,1,109
2,2,3,3,2010-10-05,81.85223,25.389499,1,38,Hit And Run,1,109
3,3,4,4,2009-09-04,81.85223,25.389499,14,16,Rape,1,109
4,666,667,667,2013-08-14,81.805664,25.430582,20,16,Robery,1,109
5,735,736,736,2008-02-28,81.807604,25.425813,21,25,Robery,1,109
6,739,740,740,2005-06-24,81.807445,25.421381,22,28,Kidnap,1,109
7,740,741,741,2011-09-22,81.809164,25.422039,14,1,Kidnap,1,109
8,741,742,742,2012-07-30,81.807604,25.425813,11,39,Rape,1,109
9,742,743,743,2007-08-21,81.807604,25.425813,14,58,Rape,1,109
10,744,745,745,2008-02-01,81.807604,25.425813,13,58,Kidnap,1,109
11,745,746,746,2011-09-23,81.807438,25.423412,7,50,Chain,1,109
12,747,748,748,2010-10-03,81.808975,25.423297,12,54,Pick,1,109
13,749,750,750,2012-09-06,81.808975,25.423297,1,45,Rape,1,109
14,750,751,751,2011-09-19,81.80623,25.427638,13,22,Rape,1,109
15,751,752,752,2011-12-16,81.810461,25.425922,15,20,Robery,1,109
16,752,753,753,2013-01-27,81.808791,25.429956,13,29,Murder,1,109
17,753,754,754,2013-07-17,81.805312,25.427677,21,8,Hit And Run,1,109
18,754,755,755,2010-05-18,81.808977,25.418317,16,48,Violence and Offence,1,109
19,755,756,756,2008-04-16,81.809565,25.415804,12,4,Murder,1,109
20,756,757,757,2014-12-20,81.808977,25.418317,5,1,Kidnap,1,109
21,757,758,758,2005-03-06,81.810348,25.416609,12,20,Chain,1,109
22,758,759,759,2007-04-27,81.818799,25.424251,17,12,Pick,1,109
23,759,760,760,2015-12-18,81.81258,25.430161,19,17,Chain,1,109
24,760,761,761,2005-11-17,81.812619,25.429694,4,55,Chain,1,109
25,761,762,762,2012-02-24,81.817908,25.427724,18,49,Murder,1,109
26,762,763,763,2008-02-22,81.812619,25.429694,22,24,Hit And Run,1,109
27,763,764,764,2015-09-10,81.813579,25.420064,11,54,Violence and Offence,1,109
28,764,765,765,2010-03-02,81.810186,25.422073,20,3,Robery,1,109
29,765,766,766,2015-02-20,81.811395,25.420993,13,48,Hit And Run,1,109
30,766,767,767,2007-09-24,81.813579,25.420064,5,43,Rape,1,109
31,767,768,768,2010-07-26,81.810981,25.423067,10,1,Murder,1,109
32,768,769,769,2011-11-20,81.819968,25.422065,3,29,Murder,1,109
33,769,770,770,2013-11-05,81.813579,25.420064,6,11,Chain,1,109
34,770,771,771,2009-01-30,81.810186,25.422073,19,17,Rape,1,109
35,771,772,772,2010-05-31,81.811395,25.420993,9,42,Violence and Offence,1,109
36,772,773,773,2014-02-17,81.813579,25.420064,2,41,Pick,1,109
37,773,774,774,2015-02-05,81.812907,25.427916,5,39,Chain,1,109
38,774,775,775,2013-05-21,81.810981,25.423067,2,36,Violence and Offence,1,109
39,942,943,943,2012-06-25,81.810913,25.410482,2,38,Rape,1,109
40,944,945,945,2012-12-25,81.810913,25.410482,20,28,Pick,1,109
41,946,947,947,2010-05-28,81.813051,25.412834,17,50,Robery,1,109
42,947,948,948,2005-10-12,81.813129,25.411854,20,12,Kidnap,1,109
43,948,949,949,2015-09-06,81.813155,25.409616,1,0,Murder,1,109
44,949,950,950,2010-07-23,81.812784,25.413398,8,46,Pick,1,109
45,950,951,951,2011-02-07,81.813051,25.412834,21,30,Kidnap,1,109
46,951,952,952,2007-07-22,81.812784,25.413398,20,53,Murder,1,109
47,952,953,953,2015-09-12,81.812976,25.410361,6,16,Kidnap,1,109
48,953,954,954,2008-08-28,81.813155,25.409616,14,7,Kidnap,1,109
49,954,955,955,2008-12-07,81.814356,25.414667,10,58,Chain,1,109
50,955,956,956,2013-01-05,81.814356,25.414667,8,0,Murder,1,109
51,956,957,957,2015-11-04,81.813155,25.409616,10,43,Hit And Run,1,109
52,1153,1154,1154,2010-09-22,81.813803,25.403059,4,11,Robery,1,109
53,1164,1165,1165,2014-01-09,81.838813,25.389738,16,19,Robery,1,109
54,1165,1166,1166,2014-04-24,81.848439,25.393871,4,31,Rape,1,109
55,1166,1167,1167,2013-02-27,81.82029,25.395389,1,10,Rape,1,109
56,1167,1168,1168,2008-12-15,81.837189,25.392262,3,27,Chain,1,109
57,1168,1169,1169,2014-11-14,81.835591,25.39165,3,41,Chain,1,109
58,1169,1170,1170,2007-01-11,81.839542,25.391055,13,54,Robery,1,109
59,1170,1171,1171,2007-10-30,81.835591,25.39165,4,12,Murder,1,109
