,index,Unnamed: 0,X,Month,Longitude,Latitude,hours,minutes,crime,Cluster_Index,danger_index
0,4,5,5,2015-04-20,81.769671,25.334337,19,49,Chain,5,174
1,5,6,6,2007-10-05,81.769671,25.334337,11,19,Kidnap,5,174
2,6,7,7,2005-06-15,81.750198,25.490299,0,34,Robery,5,174
3,7,8,8,2007-08-20,81.728159,25.489745,0,26,Robery,5,174
4,8,9,9,2008-05-20,81.726046,25.490619,10,20,Murder,5,174
5,9,10,10,2006-02-20,81.728159,25.489745,20,55,Chain,5,174
6,10,11,11,2011-06-03,81.728339,25.486097,19,21,Rape,5,174
7,11,12,12,2009-02-25,81.726125,25.48529,18,34,Rape,5,174
8,12,13,13,2005-05-17,81.734612,25.488147,13,32,Chain,5,174
9,13,14,14,2005-01-11,81.726125,25.48529,14,37,Hit And Run,5,174
10,14,15,15,2007-04-27,81.734612,25.488147,3,2,Robery,5,174
11,15,16,16,2006-06-03,81.727598,25.484743,18,57,Kidnap,5,174
12,16,17,17,2009-08-28,81.725191,25.488186,20,57,Robery,5,174
13,17,18,18,2013-11-20,81.729401,25.485736,1,25,Kidnap,5,174
14,18,19,19,2014-10-30,81.734612,25.488147,17,24,Robery,5,174
15,19,20,20,2006-11-29,81.728159,25.489745,11,51,Rape,5,174
16,20,21,21,2012-07-25,81.734612,25.488147,18,43,Rape,5,174
17,21,22,22,2009-12-16,81.728159,25.489745,16,25,Violence and Offence,5,174
18,22,23,23,2014-10-31,81.734612,25.488147,12,51,Murder,5,174
19,23,24,24,2014-07-01,81.730028,25.48824,4,48,Pick,5,174
20,24,25,25,2011-01-15,81.72676,25.49031,1,30,Hit And Run,5,174
21,25,26,26,2010-03-15,81.727444,25.490045,15,17,Kidnap,5,174
22,26,27,27,2005-02-08,81.730028,25.48824,3,52,Robery,5,174
23,27,28,28,2007-04-23,81.730202,25.489346,14,48,Violence and Offence,5,174
24,28,29,29,2011-07-24,81.730202,25.489346,6,0,Pick,5,174
25,29,30,30,2007-06-18,81.725191,25.488186,10,4,Kidnap,5,174
26,30,31,31,2013-06-04,81.730202,25.489346,10,37,Robery,5,174
27,31,32,32,2010-08-09,81.729401,25.485736,10,49,Robery,5,174
28,32,33,33,2015-08-20,81.726125,25.48529,14,28,Hit And Run,5,174
29,33,34,34,2013-03-26,81.730028,25.48824,20,48,Robery,5,174
30,34,35,35,2005-10-24,81.730346,25.486687,15,28,Violence and Offence,5,174
31,35,36,36,2005-06-21,81.726125,25.48529,22,38,Hit And Run,5,174
32,36,37,37,2008-06-18,81.725191,25.488186,5,19,Murder,5,174
33,37,38,38,2012-11-10,81.725782,25.490968,2,17,Pick,5,174
34,38,39,39,2011-07-18,81.725191,25.488186,6,15,Pick,5,174
35,39,40,40,2011-10-17,81.720707,25.500944,9,41,Violence and Offence,5,174
36,40,41,41,2015-09-04,81.725187,25.499368,4,53,Hit And Run,5,174
37,41,42,42,2007-07-18,81.713745,25.493603,0,6,Chain,5,174
38,42,43,43,2005-11-09,81.713416,25.492729,22,11,Robery,5,174
39,43,44,44,2012-08-23,81.715833,25.496854,17,50,Violence and Offence,5,174
40,44,45,45,2006-11-09,81.712009,25.49661,13,48,Robery,5,174
41,45,46,46,2007-10-19,81.715833,25.496854,11,15,Violence and Offence,5,174
42,46,47,47,2006-02-27,81.715833,25.496854,16,44,Violence and Offence,5,174
43,47,48,48,2014-04-30,81.715833,25.496854,12,27,Chain,5,174
44,48,49,49,2011-05-29,81.718564,25.493809,14,12,Kidnap,5,174
45,49,50,50,2015-05-22,81.714183,25.49357,4,21,Robery,5,174
46,50,51,51,2010-09-08,81.715833,25.496854,9,8,Murder,5,174
47,51,52,52,2012-09-15,81.715833,25.496854,20,30,Pick,5,174
48,52,53,53,2006-08-06,81.715833,25.496854,20,51,Rape,5,174
49,53,54,54,2005-12-29,81.71277,25.493362,5,0,Pick,5,174
50,54,55,55,2011-05-18,81.715833,25.496854,15,27,Hit And Run,5,174
51,55,56,56,2011-09-14,81.715833,25.496854,5,1,Pick,5,174
52,56,57,57,2012-07-10,81.715833,25.496854,22,18,Pick,5,174
53,57,58,58,2011-05-19,81.715833,25.496854,12,17,Hit And Run,5,174
54,58,59,59,2006-12-28,81.715833,25.496854,8,37,Chain,5,174
55,59,60,60,2009-12-10,81.712618,25.49701,16,48,Rape,5,174
56,60,61,61,2009-10-03,81.721482,25.498496,9,45,Violence and Offence,5,174
57,61,62,62,2010-10-07,81.715093,25.493982,5,56,Pick,5,174
58,62,63,63,2012-10-28,81.71936,25.49324,0,40,Robery,5,174
59,63,64,64,2005-08-22,81.72125,25.498018,8,28,Robery,5,174
60,64,65,65,2011-03-16,81.71936,25.49324,21,31,Pick,5,174
61,65,66,66,2006-07-14,81.71936,25.49324,10,33,Chain,5,174
62,66,67,67,2005-09-01,81.71936,25.49324,5,33,Robery,5,174
63,67,68,68,2010-02-17,81.723926,25.491799,8,6,Murder,5,174
64,68,69,69,2009-05-13,81.722952,25.492269,21,37,Rape,5,174
65,69,70,70,2008-02-18,81.728765,25.491071,7,45,Rape,5,174
66,70,71,71,2011-01-29,81.727173,25.492255,6,11,Violence and Offence,5,174
67,71,72,72,2010-12-15,81.723926,25.491799,15,37,Pick,5,174
68,72,73,73,2006-07-26,81.722841,25.489625,15,8,Chain,5,174
69,73,74,74,2009-06-13,81.728301,25.491643,0,2,Pick,5,174
70,74,75,75,2006-11-29,81.724998,25.490279,19,18,Rape,5,174
71,75,76,76,2007-07-22,81.724998,25.490279,20,34,Robery,5,174
72,76,77,77,2011-05-10,81.728765,25.491071,19,27,Robery,5,174
73,77,78,78,2006-01-03,81.728765,25.491071,16,33,Hit And Run,5,174
74,78,79,79,2005-08-14,81.722952,25.492269,19,39,Rape,5,174
75,79,80,80,2010-04-11,81.728765,25.491071,22,12,Robery,5,174
76,80,81,81,2009-01-22,81.725752,25.495363,7,0,Robery,5,174
77,81,82,82,2011-01-08,81.723926,25.491799,15,12,Robery,5,174
78,82,83,83,2011-06-12,81.728765,25.491071,18,22,Kidnap,5,174
79,83,84,84,2012-02-15,81.725752,25.495363,19,28,Rape,5,174
80,84,85,85,2006-09-01,81.727173,25.492255,16,40,Hit And Run,5,174
81,85,86,86,2005-11-17,81.727173,25.492255,14,23,Robery,5,174
82,86,87,87,2013-10-12,81.723926,25.491799,9,48,Pick,5,174
83,87,88,88,2007-06-11,81.723926,25.491799,14,35,Hit And Run,5,174
84,88,89,89,2012-07-30,81.728301,25.491643,13,41,Rape,5,174
85,89,90,90,2005-12-25,81.72307,25.49022,8,38,Kidnap,5,174
86,90,91,91,2007-01-31,81.725341,25.492628,15,49,Murder,5,174
87,91,92,92,2011-09-29,81.722952,25.492269,12,49,Robery,5,174
88,92,93,93,2005-04-22,81.729494,25.490797,19,35,Violence and Offence,5,174
89,93,94,94,2012-06-25,81.723926,25.491799,11,0,Pick,5,174
90,94,95,95,2014-10-19,81.729494,25.490797,12,23,Pick,5,174
91,95,96,96,2014-03-25,81.727173,25.492255,13,41,Violence and Offence,5,174
92,96,97,97,2006-02-23,81.724443,25.494527,8,38,Rape,5,174
93,97,98,98,2013-08-25,81.728301,25.491643,7,26,Kidnap,5,174
94,98,99,99,2009-10-18,81.728301,25.491643,13,57,Murder,5,174
95,99,100,100,2010-11-26,81.733914,25.48985,4,54,Chain,5,174
96,100,101,101,2015-04-06,81.722841,25.489625,12,11,Robery,5,174
97,101,102,102,2005-02-28,81.716663,25.484474,8,14,Hit And Run,5,174
98,102,103,103,2010-10-25,81.710446,25.495646,19,40,Murder,5,174
99,103,104,104,2011-01-28,81.711761,25.494757,19,1,Kidnap,5,174
100,104,105,105,2011-10-23,81.716663,25.484474,0,35,Pick,5,174
101,105,106,106,2012-02-12,81.710446,25.495646,0,8,Pick,5,174
102,106,107,107,2015-09-26,81.716663,25.484474,9,48,Violence and Offence,5,174
103,107,108,108,2010-04-22,81.716663,25.484474,11,57,Murder,5,174
104,108,109,109,2007-04-10,81.716663,25.484474,21,40,Pick,5,174
105,109,110,110,2013-09-04,81.71574,25.489735,7,8,Robery,5,174
106,110,111,111,2005-06-11,81.718515,25.490339,3,18,Rape,5,174
107,111,112,112,2013-02-21,81.713,25.496042,3,43,Robery,5,174
108,112,113,113,2007-01-03,81.713,25.496042,9,16,Pick,5,174
109,114,115,115,2011-04-09,81.716663,25.484474,3,31,Murder,5,174
110,116,117,117,2005-09-16,81.716663,25.484474,13,41,Chain,5,174
111,117,118,118,2011-08-16,81.708892,25.494277,8,11,Pick,5,174
112,119,120,120,2010-12-29,81.710383,25.494342,19,35,Rape,5,174
113,121,122,122,2009-06-30,81.710383,25.494342,4,14,Murder,5,174
114,122,123,123,2011-01-27,81.716663,25.484474,3,8,Violence and Offence,5,174
115,123,124,124,2015-08-21,81.718515,25.490339,5,13,Kidnap,5,174
116,124,125,125,2007-11-21,81.710383,25.494342,13,31,Pick,5,174
117,128,129,129,2013-06-22,81.70486,25.487451,11,32,Rape,5,174
118,155,156,156,2007-05-25,81.712998,25.488923,12,16,Rape,5,174
119,156,157,157,2005-10-31,81.712998,25.488923,22,46,Murder,5,174
120,157,158,158,2010-03-24,81.708671,25.483956,14,3,Robery,5,174
121,158,159,159,2012-08-21,81.713848,25.485038,13,45,Chain,5,174
122,162,163,163,2015-06-30,81.707878,25.493056,12,5,Kidnap,5,174
123,165,166,166,2007-10-22,81.717741,25.502244,12,54,Pick,5,174
124,166,167,167,2010-06-11,81.713279,25.502939,11,58,Rape,5,174
125,168,169,169,2012-05-04,81.709871,25.497179,15,53,Robery,5,174
126,169,170,170,2008-03-16,81.709871,25.497179,21,35,Chain,5,174
127,170,171,171,2005-04-02,81.71358,25.499319,5,45,Violence and Offence,5,174
128,175,176,176,2008-10-06,81.710569,25.468869,5,15,Kidnap,5,174
129,176,177,177,2006-02-08,81.712071,25.468377,18,24,Kidnap,5,174
130,177,178,178,2013-01-26,81.70422,25.472777,2,17,Pick,5,174
131,178,179,179,2010-07-16,81.712071,25.468377,20,4,Hit And Run,5,174
132,179,180,180,2007-12-23,81.70422,25.472777,8,58,Chain,5,174
133,181,182,182,2005-07-07,81.70422,25.472777,11,50,Hit And Run,5,174
134,182,183,183,2010-01-10,81.712071,25.468377,17,23,Rape,5,174
135,183,184,184,2015-07-14,81.710261,25.477137,22,51,Pick,5,174
136,184,185,185,2014-04-21,81.70422,25.472777,17,2,Violence and Offence,5,174
137,185,186,186,2005-05-24,81.7097,25.468656,18,18,Chain,5,174
138,186,187,187,2015-04-16,81.710569,25.468869,2,8,Rape,5,174
139,187,188,188,2012-09-09,81.704114,25.474232,9,38,Kidnap,5,174
140,188,189,189,2010-06-17,81.712071,25.468377,4,38,Hit And Run,5,174
141,189,190,190,2007-11-08,81.7097,25.468656,13,36,Chain,5,174
142,190,191,191,2011-05-27,81.707152,25.475936,17,14,Murder,5,174
143,191,192,192,2015-06-18,81.709947,25.475588,10,54,Pick,5,174
144,192,193,193,2011-12-13,81.701969,25.474513,17,27,Pick,5,174
145,193,194,194,2013-10-08,81.7097,25.468656,16,52,Chain,5,174
